parallel 24 1 1 1 (10 times)
time: 371ms, throughput: 45.221606469002694 M/s
time: 374ms, throughput: 44.85886631016042 M/s
time: 375ms, throughput: 44.73924266666666 M/s
time: 373ms, throughput: 44.979131367292226 M/s
time: 374ms, throughput: 44.85886631016042 M/s
time: 373ms, throughput: 44.979131367292226 M/s
time: 369ms, throughput: 45.46671002710027 M/s
time: 225ms, throughput: 74.56540444444444 M/s
time: 370ms, throughput: 45.343827027027025 M/s
time: 373ms, throughput: 44.979131367292226 M/s
parallel 24 1 2 1 (10 times)
time: 274ms, throughput: 61.23071532846715 M/s
time: 271ms, throughput: 61.90854612546125 M/s
time: 246ms, throughput: 68.2000650406504 M/s
time: 274ms, throughput: 61.23071532846715 M/s
time: 275ms, throughput: 61.00805818181817 M/s
time: 274ms, throughput: 61.23071532846715 M/s
time: 212ms, throughput: 79.13781132075472 M/s
time: 277ms, throughput: 60.5675667870036 M/s
time: 218ms, throughput: 76.95970642201834 M/s
time: 274ms, throughput: 61.23071532846715 M/s
parallel 24 1 4 1 (10 times)
time: 253ms, throughput: 66.31310671936758 M/s
time: 250ms, throughput: 67.108864 M/s
time: 185ms, throughput: 90.68765405405405 M/s
time: 184ms, throughput: 91.18052173913043 M/s
time: 252ms, throughput: 66.57625396825397 M/s
time: 184ms, throughput: 91.18052173913043 M/s
time: 259ms, throughput: 64.77689575289575 M/s
time: 261ms, throughput: 64.28052107279693 M/s
time: 260ms, throughput: 64.52775384615384 M/s
time: 249ms, throughput: 67.37837751004015 M/s
parallel 24 1 8 1 (10 times)
time: 171ms, throughput: 98.11237426900584 M/s
time: 259ms, throughput: 64.77689575289575 M/s
time: 258ms, throughput: 65.02796899224806 M/s
time: 169ms, throughput: 99.27346745562129 M/s
time: 190ms, throughput: 88.30113684210527 M/s
time: 257ms, throughput: 65.28099610894941 M/s
time: 172ms, throughput: 97.5419534883721 M/s
time: 170ms, throughput: 98.68950588235293 M/s
time: 127ms, throughput: 132.104062992126 M/s
time: 168ms, throughput: 99.86438095238094 M/s
parallel 24 1 16 1 (10 times)
time: 160ms, throughput: 104.85759999999999 M/s
time: 162ms, throughput: 103.56306172839506 M/s
time: 288ms, throughput: 58.254222222222225 M/s
time: 160ms, throughput: 104.85759999999999 M/s
time: 163ms, throughput: 102.92770552147239 M/s
time: 284ms, throughput: 59.074704225352114 M/s
time: 161ms, throughput: 104.2063105590062 M/s
time: 122ms, throughput: 137.5181639344262 M/s
time: 160ms, throughput: 104.85759999999999 M/s
time: 160ms, throughput: 104.85759999999999 M/s
parallel 24 1 32 1 (10 times)
time: 220ms, throughput: 76.26007272727273 M/s
time: 145ms, throughput: 115.70493793103448 M/s
time: 296ms, throughput: 56.67978378378378 M/s
time: 295ms, throughput: 56.8719186440678 M/s
time: 145ms, throughput: 115.70493793103448 M/s
time: 144ms, throughput: 116.50844444444445 M/s
time: 297ms, throughput: 56.48894276094276 M/s
time: 146ms, throughput: 114.91243835616439 M/s
time: 146ms, throughput: 114.91243835616439 M/s
time: 296ms, throughput: 56.67978378378378 M/s
parallel 24 2 1 1 (10 times)
time: 381ms, throughput: 44.03468766404199 M/s
time: 378ms, throughput: 44.38416931216931 M/s
time: 375ms, throughput: 44.73924266666666 M/s
time: 378ms, throughput: 44.38416931216931 M/s
time: 378ms, throughput: 44.38416931216931 M/s
time: 377ms, throughput: 44.50189920424403 M/s
time: 376ms, throughput: 44.62025531914893 M/s
time: 226ms, throughput: 74.23546902654867 M/s
time: 381ms, throughput: 44.03468766404199 M/s
time: 385ms, throughput: 43.57718441558441 M/s
parallel 24 2 2 1 (10 times)
time: 283ms, throughput: 59.28344876325089 M/s
time: 250ms, throughput: 67.108864 M/s
time: 219ms, throughput: 76.60829223744292 M/s
time: 286ms, throughput: 58.66159440559441 M/s
time: 248ms, throughput: 67.65006451612904 M/s
time: 286ms, throughput: 58.66159440559441 M/s
time: 281ms, throughput: 59.705395017793585 M/s
time: 247ms, throughput: 67.92395141700405 M/s
time: 218ms, throughput: 76.95970642201834 M/s
time: 246ms, throughput: 68.2000650406504 M/s
parallel 24 2 4 1 (10 times)
time: 219ms, throughput: 76.60829223744292 M/s
time: 138ms, throughput: 121.57402898550723 M/s
time: 139ms, throughput: 120.69939568345322 M/s
time: 209ms, throughput: 80.27376076555024 M/s
time: 137ms, throughput: 122.4614306569343 M/s
time: 108ms, throughput: 155.3445925925926 M/s
